replicate,delta_C
601,-0.046052631578947345
602,0.05483870967741933
603,-0.07547169811320753
604,-0.03819444444444442
605,-0.07500000000000001
606,0.03205128205128205
607,0.03797468354430378
608,-0.06962025316455689
609,-0.10264900662251653
610,-0.05900621118012428
611,-0.08999999999999997
612,-0.01572327044025157
613,-0.015923566878980888
614,-0.029032258064516148
615,-0.03546099290780147
616,0.006756756756756799
617,-0.07638888888888884
618,0.0286624203821656
619,0.08125000000000004
620,-0.10736196319018404
621,-0.05590062111801242
622,-0.08041958041958042
623,0.00967741935483879
624,-0.1366459627329193
625,-0.10967741935483866
626,0.02777777777777779
627,0.01572327044025157
628,-0.17405063291139244
629,-0.05263157894736836
630,0.15771812080536918
631,0.04195804195804198
632,-0.026315789473684237
633,-0.03459119496855345
634,-0.037735849056603765
635,0.11635220125786161
636,-0.08064516129032262
637,0.0031055900621117516
638,-0.08823529411764708
639,-0.05161290322580647
640,-0.12171052631578949
641,-0.143312101910828
642,-0.05063291139240511
643,0.02795031055900621
644,-0.04220779220779225
645,-0.09354838709677415
646,-0.03546099290780147
647,0.08881578947368418
648,-0.08904109589041098
649,-0.0357142857142857
650,-0.06071428571428572
651,-0.06666666666666665
652,0.03900709219858156
653,-0.10443037974683544
654,-0.013333333333333308
655,0.03816793893129766
656,-0.040000000000000036
657,-0.06172839506172845
658,-0.03153153153153154
659,-0.06666666666666665
660,-0.11038961038961037
661,-0.07666666666666666
662,-0.02515723270440251
663,-0.006849315068493178
664,-0.019230769230769273
665,0.003225806451612967
666,-0.08974358974358976
667,-0.012903225806451646
668,-0.1466666666666666
669,-0.05319148936170215
670,-0.12420382165605093
671,0.0030864197530864335
672,-0.0625
673,0.019230769230769162
674,-0.1387096774193548
675,-0.05519480519480513
676,-0.04054054054054057
677,-0.10576923076923073
678,-0.01655629139072845
679,-0.16455696202531644
680,0.02515723270440251
681,-0.06953642384105962
682,-0.05782312925170063
683,-0.009554140127388533
684,-0.0033112582781457123
685,-0.06953642384105962
686,-0.15771812080536918
687,0.11513157894736847
688,-0.125
689,0.06164383561643838
690,-0.01315789473684209
691,-0.08609271523178808
692,-0.0844155844155845
693,0.08544303797468356
694,0.11073825503355705
695,0.006329113924050667
696,-0.07516339869281041
697,-0.04870129870129869
698,0.050632911392405
699,-0.06474820143884896
700,-0.14855072463768115
701,-0.034810126582278555
702,-0.021739130434782594
703,-0.03144654088050314
704,-0.060509554140127375
705,0.013333333333333308
706,-0.12893081761006286
707,0.054487179487179516
708,0.03797468354430378
709,-0.12025316455696206
710,-0.03548387096774197
711,-0.003355704697986628
712,-0.03548387096774197
713,-0.09006211180124224
714,-0.00649350649350644
715,-0.1383647798742138
716,-0.11708860759493678
717,0.012987012987012991
718,-0.04658385093167705
719,0.006666666666666599
720,-0.026315789473684292
721,0.0064102564102564985
722,0.019736842105263164
723,-0.014388489208633004
724,0.061728395061728336
725,0.030201342281879207
726,-0.04026845637583898
727,-0.03125
728,0.016778523489932806
729,-0.01273885350318471
730,0.13605442176870752
731,-0.030201342281879207
732,-0.10322580645161283
733,0.1572327044025157
734,0.044871794871794934
735,-0.060509554140127486
736,0.03355704697986572
737,0.0625
738,-0.1297709923664122
739,-0.03416149068322982
740,-0.03525641025641024
741,-0.15000000000000002
742,-0.10248447204968947
743,-0.08064516129032262
744,-0.009677419354838679
745,-0.0064102564102563875
746,0.0031446540880503138
747,0.12893081761006286
748,-0.10264900662251653
749,-0.035031847133758065
750,-0.0608974358974359
751,-0.03525641025641024
752,0.023333333333333428
753,-0.0033112582781457123
754,-0.018656716417910446
755,-0.16107382550335564
756,-0.021582733812949617
757,-0.06622516556291391
758,-0.038461538461538436
759,-0.0031847133757961776
760,0.03741496598639449
761,0.006249999999999978
762,-0.07553956834532372
763,-0.0714285714285714
764,-0.0328947368421052
765,-0.023178807947019875
766,0.01572327044025157
767,-0.11708860759493667
768,-0.0941558441558441
769,0.08974358974358976
770,-0.09627329192546585
771,-0.07432432432432434
772,-0.07594936708860756
773,-0.038461538461538436
774,-0.04516129032258065
775,0.00328947368421062
776,-0.04166666666666663
777,0.016233766233766156
778,-0.028846153846153855
779,-0.058441558441558406
780,-0.05696202531645578
781,-0.06818181818181823
782,-0.08278145695364236
783,-0.1598639455782313
784,-0.1506410256410256
785,-0.02980132450331119
786,0.013157894736842035
787,-0.12758620689655165
788,0.07594936708860767
789,-0.09415584415584421
790,-0.06953642384105951
791,-0.09797297297297303
792,-0.01273885350318471
793,-0.018750000000000044
794,-0.03191489361702127
795,0.019230769230769162
796,0.06849315068493156
797,0.0286624203821656
798,0.050632911392405
799,-0.008000000000000007
800,-0.0033112582781457123
801,-0.06333333333333335
802,-0.06451612903225801
803,-0.07187500000000002
804,0.025362318840579712
805,0.05696202531645567
806,-0.019867549668874163
807,-0.0874125874125874
808,-0.03246753246753242
809,0.0
810,0.02564102564102566
811,0.09006211180124224
812,-0.0679012345679012
813,-0.10759493670886072
814,0.07565789473684204
815,-0.046052631578947345
816,0.022435897435897467
817,0.010067114093959773
818,-0.037878787878787956
819,-0.05519480519480524
820,0.01552795031055898
821,-0.20382165605095537
822,-0.07843137254901955
823,0.043209876543209846
824,-0.07499999999999996
825,0.10526315789473684
826,-0.10322580645161294
827,-0.13694267515923564
828,-0.053459119496855334
829,-0.02547770700636942
830,-0.01602564102564108
831,-0.06333333333333324
832,0.01572327044025157
833,-0.21835443037974683
834,0.019736842105263164
835,-0.05555555555555547
836,-0.025316455696202556
837,-0.057046979865771785
838,-0.03205128205128205
839,-0.04966887417218535
840,0.0032679738562091387
841,-0.07142857142857145
842,-0.14
843,-0.11708860759493678
844,-0.047770700636942665
845,-0.016233766233766267
846,-0.05900621118012417
847,-0.12580645161290327
848,-0.0629139072847682
849,-0.04516129032258065
850,0.09999999999999998
851,-0.05882352941176472
852,-0.1470588235294117
853,-0.13398692810457513
854,-0.03749999999999998
855,-0.04458598726114649
856,-0.008196721311475419
857,0.02564102564102566
858,-0.10062893081761004
